key,text,tag,translated
ApparelLayerDef/AnalInsertableBondage.label,insertable,label,可插入式
ApparelLayerDef/VaginalInsertableBondage.label,insertable,label,可插入式
ApparelLayerDef/BeltsOnSkinBondage.label,Over skin,label,贴身
ApparelLayerDef/GagOuterBondage.label,headgear,label,头饰
ApparelLayerDef/ArmsOuterBondage.label,outer,label,外套
ApparelLayerDef/LegsOuterBondage.label,outer,label,外套
BackstoryDef/rjw_childC.baseDesc,[PAWN_nameDef] was born in civil settlement.,baseDesc,[PAWN_nameDef]在平民定居点出生。
BackstoryDef/rjw_childC.title,Child,title,孩子
BackstoryDef/rjw_childC.titleShort,Child,titleShort,孩子
BackstoryDef/rjw_childT.baseDesc,[PAWN_nameDef] was born in a tribe.,baseDesc,[PAWN_nameDef]出生在部落。
BackstoryDef/rjw_childT.title,Child,title,孩子
BackstoryDef/rjw_childT.titleShort,Child,titleShort,孩子
BackstoryDef/rjw_vatgrown_sex_slave.baseDesc,"[PAWN_nameDef] was made to be a sex toy, rather than a human. During [PAWN_possessive] growing period, [PAWN_pronoun] was taught plenty of social and sex related skills to satisfy any demands of its owners.",baseDesc,[PAWN_nameDef]被做成性玩具，而不是人。在[PAWN_possessive]生长期[PAWN_pronoun]被教授了大量的社交和性别相关的技能来满足它的主人的任何需求。
BackstoryDef/rjw_vatgrown_sex_slave.title,Vat-Grown Sex Slave,title,培育中的性奴
BackstoryDef/rjw_vatgrown_sex_slave.titleShort,Sex Slave,titleShort,性奴
BackstoryDef/rjw_feisty.baseDesc,"[PAWN_nameDef] is a conqueror by nature and will punch you in a face if you try to say ""No"" to [PAWN_possessive] advances.",baseDesc,[PAWN_nameDef]生性是征服者，如果你试图说 “不”，他会打你的脸[PAWN_possessive]进度。
BackstoryDef/rjw_feisty.title,Feisty Nymph,title,暴躁的若虫
BackstoryDef/rjw_feisty.titleShort,Nymph,titleShort,若虫
BackstoryDef/rjw_curious.baseDesc,"[PAWN_nameDef] loves crafting various things, especially things that provide new experiences.",baseDesc,[PAWN_nameDef]喜欢制作各种物品，特别是那些能提供新的体验的物品。
BackstoryDef/rjw_curious.title,Curious Nymph,title,好奇若虫
BackstoryDef/rjw_curious.titleShort,Nymph,titleShort,若虫
BackstoryDef/rjw_tender.baseDesc,"[PAWN_nameDef] has a pair of charming eyes, and [PAWN_possessive] voice is soft and sweet. Due to [PAWN_possessive] previous nurse job, [PAWN_pronoun] tends people quite well.",baseDesc,"[PAWN_nameDef]有着一双迷人的眼睛[PAWN_possessive]声音轻柔而甜美。由于[PAWN_possessive]之前的护士工作,[PAWN_pronoun]善待他人。"
BackstoryDef/rjw_tender.title,Tender Nymph,title,温柔若虫
BackstoryDef/rjw_tender.titleShort,Nymph,titleShort,若虫
BackstoryDef/rjw_chatty.baseDesc,"No one can be more loquacious than [PAWN_nameDef]. [PAWN_pronoun] has a flexible tongue, a sharp mind, and hot lips.",baseDesc,没有人比这更健谈了。[PAWN_nameDef]没有。[PAWN_pronoun]拥有灵活的舌头，犀利的头脑和炽热的嘴唇。
BackstoryDef/rjw_chatty.title,Chatty Nymph,title,健谈的若虫
BackstoryDef/rjw_chatty.titleShort,Nymph,titleShort,若虫
BackstoryDef/rjw_broken.baseDesc,"[PAWN_nameDef] suffered some terrible things, [PAWN_pronoun] looks rather emaciated.",baseDesc,"[PAWN_nameDef]遭受了一些可怕的事情,[PAWN_pronoun]看起来相当瘦削。"
BackstoryDef/rjw_broken.title,Broken Nymph,title,破碎仙
BackstoryDef/rjw_broken.titleShort,Nymph,titleShort,若虫
BackstoryDef/rjw_homekeeper.baseDesc,[PAWN_nameDef] was trained to be a housekeeper. Would you like dinner? A bath? Or perhaps...[PAWN_possessive]?.,baseDesc,[PAWN_nameDef]被训练成一名管家。你想要吃晚饭吗？洗澡？或许...[PAWN_possessive]？!
BackstoryDef/rjw_homekeeper.title,Homekeeper Nymph,title,部落长老若虫
BackstoryDef/rjw_homekeeper.titleShort,Nymph,titleShort,若虫
BodyPartGroupDef/ChestBPG.label,chest,label,胸
BodyPartGroupDef/GenitalsBPG.label,genitals,label,生殖器
BodyPartGroupDef/AnusBPG.label,anus,label,肛门
BodyPartDef/Genitals.label,genitals,label,生殖器
BodyPartDef/Chest.label,chest,label,胸
BodyPartDef/Anus.label,anus,label,肛门
BodyPartDef/MechGenitals.label,mechanoid implanter,label,机械体植入
BodyPartTagDef/RJW_Fertility.label,fertility_source,label,营养资源
BodyPartTagDef/RJW_Fertility.description,Necessary for reproduction,description,繁育所必需
rjw.PartSizeConfigDef/DefaultPenisSizes.label,standard penis size config,label,标准阴茎尺寸配置
rjw.PartSizeConfigDef/DefaultVaginaSizes.label,standard vagina size config,label,标准阴道尺寸配置
rjw.PartSizeConfigDef/DefaultBreastSizes.label,standard breast size config,label,标准乳房尺寸配置
